group,team1,score1,team2,score2
A,Mexico,2,South Africa,0
A,South Korea,2,Czechia,1
A,Czechia,1,South Africa,1
A,Mexico,1,South Korea,0
A,Mexico,3,Czechia,0
A,South Africa,1,South Korea,0
B,Canada,1,Bosnia and Herzegovina,1
B,Switzerland,1,Qatar,1
B,Switzerland,4,Bosnia and Herzegovina,1
B,Canada,6,Qatar,0
B,Switzerland,3,Canada,1
B,Bosnia and Herzegovina,3,Qatar,1
C,Brazil,1,Morocco,1
C,Scotland,1,Haiti,0
C,Scotland,0,Morocco,1
C,Brazil,3,Haiti,0
C,Scotland,0,Brazil,3
C,Morocco,4,Haiti,2
D,USA,4,Paraguay,1
D,Australia,2,Turkiye,0
D,USA,2,Australia,0
D,Turkiye,0,Paraguay,1
D,Turkiye,3,USA,2
D,Paraguay,0,Australia,0
E,Germany,7,Curacao,1
E,Ivory Coast,1,Ecuador,0
E,Germany,2,Ivory Coast,1
E,Ecuador,0,Curacao,0
E,Curacao,0,Ivory Coast,2
E,Ecuador,2,Germany,1
F,Netherlands,2,Japan,2
F,Sweden,5,Tunisia,1
F,Netherlands,5,Sweden,1
F,Japan,4,Tunisia,0
F,Japan,1,Sweden,1
F,Netherlands,3,Tunisia,1
G,Belgium,1,Egypt,1
G,Iran,2,New Zealand,2
G,Belgium,0,Iran,0
G,Egypt,3,New Zealand,1
G,Egypt,1,Iran,1
G,Belgium,5,New Zealand,1
H,Spain,0,Cape Verde,0
H,Saudi Arabia,1,Uruguay,1
H,Spain,4,Saudi Arabia,0
H,Uruguay,2,Cape Verde,2
H,Cape Verde,0,Saudi Arabia,0
H,Spain,1,Uruguay,0
I,France,3,Senegal,1
I,Norway,4,Iraq,1
I,France,3,Iraq,0
I,Norway,3,Senegal,2
I,France,4,Norway,1
I,Senegal,5,Iraq,0
J,Argentina,3,Algeria,0
J,Austria,3,Jordan,1
J,Argentina,2,Austria,0
J,Jordan,1,Algeria,2
J,Argentina,3,Jordan,1
J,Austria,3,Algeria,3
K,Portugal,1,DR Congo,1
K,Uzbekistan,1,Colombia,3
K,Portugal,5,Uzbekistan,0
K,Colombia,1,DR Congo,0
K,Colombia,0,Portugal,0
K,DR Congo,3,Uzbekistan,1
L,England,4,Croatia,2
L,Ghana,1,Panama,0
L,England,0,Ghana,0
L,Panama,0,Croatia,1
L,England,2,Panama,0
L,Croatia,2,Ghana,1
