match_id,group,team,opponent,goals_for,goals_against,goal_diff,result,points,is_host
1,A,Mexico,South Africa,2,0,2,Win,3,1
1,A,South Africa,Mexico,0,2,-2,Loss,0,0
2,A,South Korea,Czechia,2,1,1,Win,3,0
2,A,Czechia,South Korea,1,2,-1,Loss,0,0
3,A,Czechia,South Africa,1,1,0,Draw,1,0
3,A,South Africa,Czechia,1,1,0,Draw,1,0
4,A,Mexico,South Korea,1,0,1,Win,3,1
4,A,South Korea,Mexico,0,1,-1,Loss,0,0
5,A,Mexico,Czechia,3,0,3,Win,3,1
5,A,Czechia,Mexico,0,3,-3,Loss,0,0
6,A,South Africa,South Korea,1,0,1,Win,3,0
6,A,South Korea,South Africa,0,1,-1,Loss,0,0
7,B,Canada,Bosnia and Herzegovina,1,1,0,Draw,1,1
7,B,Bosnia and Herzegovina,Canada,1,1,0,Draw,1,0
8,B,Switzerland,Qatar,1,1,0,Draw,1,0
8,B,Qatar,Switzerland,1,1,0,Draw,1,0
9,B,Switzerland,Bosnia and Herzegovina,4,1,3,Win,3,0
9,B,Bosnia and Herzegovina,Switzerland,1,4,-3,Loss,0,0
10,B,Canada,Qatar,6,0,6,Win,3,1
10,B,Qatar,Canada,0,6,-6,Loss,0,0
11,B,Switzerland,Canada,3,1,2,Win,3,0
11,B,Canada,Switzerland,1,3,-2,Loss,0,1
12,B,Bosnia and Herzegovina,Qatar,3,1,2,Win,3,0
12,B,Qatar,Bosnia and Herzegovina,1,3,-2,Loss,0,0
13,C,Brazil,Morocco,1,1,0,Draw,1,0
13,C,Morocco,Brazil,1,1,0,Draw,1,0
14,C,Scotland,Haiti,1,0,1,Win,3,0
14,C,Haiti,Scotland,0,1,-1,Loss,0,0
15,C,Scotland,Morocco,0,1,-1,Loss,0,0
15,C,Morocco,Scotland,1,0,1,Win,3,0
16,C,Brazil,Haiti,3,0,3,Win,3,0
16,C,Haiti,Brazil,0,3,-3,Loss,0,0
17,C,Scotland,Brazil,0,3,-3,Loss,0,0
17,C,Brazil,Scotland,3,0,3,Win,3,0
18,C,Morocco,Haiti,4,2,2,Win,3,0
18,C,Haiti,Morocco,2,4,-2,Loss,0,0
19,D,USA,Paraguay,4,1,3,Win,3,1
19,D,Paraguay,USA,1,4,-3,Loss,0,0
20,D,Australia,Turkiye,2,0,2,Win,3,0
20,D,Turkiye,Australia,0,2,-2,Loss,0,0
21,D,USA,Australia,2,0,2,Win,3,1
21,D,Australia,USA,0,2,-2,Loss,0,0
22,D,Turkiye,Paraguay,0,1,-1,Loss,0,0
22,D,Paraguay,Turkiye,1,0,1,Win,3,0
23,D,Turkiye,USA,3,2,1,Win,3,0
23,D,USA,Turkiye,2,3,-1,Loss,0,1
24,D,Paraguay,Australia,0,0,0,Draw,1,0
24,D,Australia,Paraguay,0,0,0,Draw,1,0
